"url","locale","flagged","check_a_sku_url","check_b_sku_title_h1","page_title","h1","flag_reasons","http_status","check_b_skipped"
"https://evidentscientific.com/de/products/1460500/1460500","de","TRUE","TRUE","FALSE","","","SKU-style URL slug","N/A","TRUE"
"https://evidentscientific.com/de/products/3d-optical-profilometers/lext-ols5500","de","FALSE","FALSE","FALSE","","","","N/A","TRUE"
"https://evidentscientific.com/de/products/562445024/562445024","de","TRUE","TRUE","FALSE","","","SKU-style URL slug","N/A","TRUE"
"https://evidentscientific.com/de/products/562445135/562445135","de","TRUE","TRUE","FALSE","","","SKU-style URL slug","N/A","TRUE"
"https://evidentscientific.com/de/products/8000302/8000302","de","TRUE","TRUE","FALSE","","","SKU-style URL slug","N/A","TRUE"
"https://evidentscientific.com/de/products/a822482/a822482","de","TRUE","TRUE","FALSE","","","SKU-style URL slug","N/A","TRUE"
"https://evidentscientific.com/de/products/accessories/immoil-f30cc","de","FALSE","FALSE","FALSE","","","","N/A","TRUE"
"https://evidentscientific.com/de/products/aq885201/aq885201","de","TRUE","TRUE","FALSE","","","SKU-style URL slug","N/A","TRUE"
"https://evidentscientific.com/de/products/as208300/as208300","de","TRUE","TRUE","FALSE","","","SKU-style URL slug","N/A","TRUE"
"https://evidentscientific.com/de/products/av776901/av776901","de","TRUE","TRUE","FALSE","","","SKU-style URL slug","N/A","TRUE"
"https://evidentscientific.com/de/products/av832300/av832300","de","TRUE","TRUE","FALSE","","","SKU-style URL slug","N/A","TRUE"
"https://evidentscientific.com/de/products/aw096401/aw096401","de","TRUE","TRUE","FALSE","","","SKU-style URL slug","N/A","TRUE"
"https://evidentscientific.com/de/products/aw700200/aw700200","de","TRUE","TRUE","FALSE","","","SKU-style URL slug","N/A","TRUE"
"https://evidentscientific.com/de/products/aw763200/aw763200","de","TRUE","TRUE","FALSE","","","SKU-style URL slug","N/A","TRUE"
"https://evidentscientific.com/de/products/aw776500/aw776500","de","TRUE","TRUE","FALSE","","","SKU-style URL slug","N/A","TRUE"
"https://evidentscientific.com/de/products/ax0001/ax0001","de","TRUE","TRUE","FALSE","","","SKU-style URL slug","N/A","TRUE"
"https://evidentscientific.com/de/products/ax0003/ax0003","de","TRUE","TRUE","FALSE","","","SKU-style URL slug","N/A","TRUE"
"https://evidentscientific.com/de/products/cameras-and-accessories/dp23-webstore","de","FALSE","FALSE","FALSE","","","","N/A","TRUE"
"https://evidentscientific.com/de/products/cameras-and-accessories/dp23m","de","FALSE","FALSE","FALSE","","","","N/A","TRUE"
"https://evidentscientific.com/de/products/cameras-and-accessories/dp28-webstore","de","FALSE","FALSE","FALSE","","","","N/A","TRUE"
"https://evidentscientific.com/de/products/cameras-and-accessories/em-ccd","de","FALSE","FALSE","FALSE","","","","N/A","TRUE"
"https://evidentscientific.com/de/products/cameras-and-accessories/scmos","de","FALSE","FALSE","FALSE","","","","N/A","TRUE"
"https://evidentscientific.com/de/products/ckx53-fl/ckx53-fl","de","FALSE","FALSE","FALSE","","","","N/A","TRUE"
"https://evidentscientific.com/de/products/cleanliness-and-particle-analysis/cix100","de","FALSE","FALSE","FALSE","","","","N/A","TRUE"
"https://evidentscientific.com/de/products/confocal/fv4000","de","FALSE","FALSE","FALSE","","","","N/A","TRUE"
"https://evidentscientific.com/de/products/confocal/fv4000-mpe","de","FALSE","FALSE","FALSE","","","","N/A","TRUE"
"https://evidentscientific.com/de/products/confocal/fv5000","de","FALSE","FALSE","FALSE","","","","N/A","TRUE"
